Target,Port,Protocol,State
3.33.251.168,21,tcp,filtered
3.33.251.168,22,tcp,filtered
3.33.251.168,23,tcp,filtered
3.33.251.168,53,tcp,closed
3.33.251.168,80,tcp,open
3.33.251.168,110,tcp,filtered
3.33.251.168,111,tcp,filtered
3.33.251.168,135,tcp,filtered
3.33.251.168,139,tcp,filtered
3.33.251.168,143,tcp,filtered
3.33.251.168,190,tcp,filtered
3.33.251.168,443,tcp,open
3.33.251.168,445,tcp,filtered
3.33.251.168,993,tcp,filtered
3.33.251.168,995,tcp,filtered
3.33.251.168,1024,tcp,filtered
3.33.251.168,1723,tcp,filtered
3.33.251.168,3306,tcp,filtered
3.33.251.168,3389,tcp,filtered
3.33.251.168,3390,tcp,filtered
3.33.251.168,4000,tcp,filtered
3.33.251.168,5900,tcp,filtered
3.33.251.168,4444,tcp,filtered
3.33.251.168,8000,tcp,filtered
3.33.251.168,8080,tcp,filtered
3.33.251.168,8888,tcp,filtered
